"TIMESTAMP","PAYLOAD"
"2016-05-20 09:48:11.05","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.06","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.07","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.08","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.09","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.10","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.11","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.12","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.13","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.14","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.15","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.16","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.17","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.18","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.19","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.20","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.21","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.22","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.23","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.24","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
"2016-05-20 09:48:11.25","00,1F,75,00,1F,46,FF,E5,FF,E3,00,20"
